1163649  (Author Record Id) OR 3113353  (Author Record Id) OR 1429105  (Author Record Id)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"GEOGRAPHIC AREA AND MAP PROJECTIONS","TOBLER, WR","","","","GEOGRAPHICAL REVIEW","1963","1963","53","1","","","","59","78","","10.2307/212809","","","60","1.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","2","4","2","2","2","1","2","0","1","0","0","2","0","3","0","0","0","1","0","2","0","1","2","1","0","1","0","0","0","0","0","0","0","0","2","0","1","0","3","0","2","1","4","1","1","0","2","2","3","2","2","0","0"
"CHOROPLETH MAPS WITHOUT CLASS INTERVALS","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1973","1973","5","3","","","","262","265","","","","","49","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","3","1","1","1","0","0","1","0","1","3","0","1","1","0","1","1","2","0","1","2","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","1","1","2","4","2","3","1","0"
"Migration: Ravenstein, Thornthwaite, and beyond","Tobler, W","","","","URBAN GEOGRAPHY","MAY 16 1995","1995","16","4","","","","327","343","","10.2747/0272-3638.16.4.327","90th Annual Meeting of the Association-of-American-Geographers","MAR 27-APR 02, 1994","45","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","1","2","1","2","0","3","2","3","3","4","0","2","2","1","2","5","5","3","0"
"AUTOMATION AND CARTOGRAPHY","TOBLER, WR","","","","GEOGRAPHICAL REVIEW","1959","1959","49","4","","","","526","534","","10.2307/212211","","","45","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","2","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","1","1","2","1","0","1","2","1","0","1","1","1","0","1","0","1","0","0","2","2","1","1","0","1","1","0","0","0","1","1","2","2","3","1","2","1","0"
"CAPPADOCIAN SPECULATION","TOBLER, W; WINEBURG, S","","","","NATURE","1971","1971","231","5297","","","","39","&","","10.1038/231039a0","","","42","0.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","1","3","2","1","1","0","1","0","1","0","1","0","0","0","2","0","0","1","0","0","1","1","0","1","2","0","0","1","1","0","2","0","0","0","1","0","0","0","0","1","2","0","2","4","1","2","0"
"UNIFORM DISTRIBUTION OF OBJECTS IN A HOMOGENEOUS FIELD - CITIES ON A PLAIN","GLASS, L; TOBLER, WR","","","","NATURE","1971","1971","233","5314","","","","67","+","","10.1038/233067a0","","","37","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","2","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","2","0","3","3","1","0","2","3","2","3","0","0","0","2","1","1","0","0","1","1","0"
"COMPUTERIZED QUANTITATIVE-ANALYSIS OF KINETIC VISUAL-FIELDS","WELEBER, RG; TOBLER, WR","","","","AMERICAN JOURNAL OF OPHTHALMOLOGY","APR 1986","1986","101","4","","","","461","468","","10.1016/0002-9394(86)90648-3","","","34","0.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","1","1","0","0","0","1","0","0","3","3","2","1","2","2","0","1","3","0","0","1","1","1","0","2","2","1","0","0","0","1","0"
"LATTICE TUNING","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1979","1979","11","1","","","","36","44","","","","","29","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","2","1","0","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","1","1","3","3","2","0"
"MEDIEVAL DISTORTIONS - PROJECTIONS OF ANCIENT MAPS","TOBLER, WR","","","","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","1966","1966","56","2","","","","351","360","","10.1111/j.1467-8306.1966.tb00562.x","","","28","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","1","2","1","0","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","2","2","1","1","0","0","2","3","1","0","0","0","0"
"AN ALTERNATIVE FORMULATION FOR SPATIAL-INTERACTION MODELING","TOBLER, W","","","","ENVIRONMENT AND PLANNING A","1983","1983","15","5","","","","693","703","","10.1068/a150693","","","26","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","4","1","1","0","1","3","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0"
"A QUADTREE FOR GLOBAL INFORMATION-STORAGE","TOBLER, W; CHEN, Z","","","","GEOGRAPHICAL ANALYSIS","OCT 1986","1986","18","4","","","","360","371","","","","","25","0.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","0","1","2","2","1","2","0","1","4","0","0"
"PSEUDO-CARTOGRAMS","TOBLER, WR","","","","AMERICAN CARTOGRAPHER","JAN 1986","1986","13","1","","","","43","50","","10.1559/152304086783900194","","","24","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","0","2","0","3","3","2","0","3","0","2","0","1","1","0","2","0","0"
"COMPARISON OF PLANE FORMS","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1978","1978","10","2","","","","154","162","","","","","22","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","0","1","1","1","0","2","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","1","1","0","0"
"MAPS AND MATRICES","TOBLER, WR","","","","JOURNAL OF REGIONAL SCIENCE","1967","1967","7","2","","","","275","280","","","","","22","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","3","2","0","3","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Reconstructing Population Density Surfaces from Areal Data: A Comparison of Tobler's Pycnophylactic Interpolation Method and Area-to-Point Kriging","Yoo, Eun-Hye; Kyriakidis, Phaedon C.; Tobler, Waldo","","","","GEOGRAPHICAL ANALYSIS","JAN 2010","2010","42","1","","","","78","98","","10.1111/j.1538-4632.2009.00783.x","","","20","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","2","1","1","3","2","3","1","0","0"
"SPATIAL INTERACTION PATTERNS","TOBLER, W","","","","JOURNAL OF ENVIRONMENTAL SYSTEMS","1977","1977","6","4","","","","271","301","","","","","20","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","2","1","0","3","0","2","1","1","1","0","0","1","1","0","0","0","0","2","0"
"GEOBOTANICAL DISTANCE BETWEEN NEW-ZEALAND AND NEIGHBORING ISLANDS","TOBLER, WR; MIELKE, HW; DETWYLER, TR","","","","BIOSCIENCE","1970","1970","20","9","","","","537","&","","10.2307/1295012","","","19","0.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","2","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0"
"ESTIMATION OF ATTRACTIVITIES FROM INTERACTIONS","TOBLER, WR","","","","ENVIRONMENT AND PLANNING A","1979","1979","11","2","","","","121","127","","10.1068/a110121","","","16","0.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","1","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Simulation and analysis of transmission shift dynamics","Zhang, Y; Zou, Z; Chen, X; Zhang, X; Tobler, W","","","","INTERNATIONAL JOURNAL OF VEHICLE DESIGN","2003","2003","32","3-4","","","","273","289","","10.1504/IJVD.2003.003557","","","15","0.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","0","0","0","2","1","1","0","3","1","0","1","0","0","0"
"GEOGRAPHIC INTERPOLATION","KENNEDY, S; TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1983","1983","15","2","","","","151","156","","","","","14","0.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","1","0","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
