Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"WR Tobler","Projection Pitfalls",1960,"","Taylor & Francis","https://www.tandfonline.com/doi/pdf/10.1111/j.1467-8306.1960.tb00331.x","https://scholar.google.com/scholar?cites=3064731555640491224&as_sdt=2005&sciodt=2007&hl=en",246,"2021-12-14 16:19:11","","10.1111/j.1467-8306.1960.tb00331.x","","",,,,,2,0.03,2,1,61,"In it recent issue of the Annuls, RL Williams commented on the fallacy of ignoring basic principles of map projections when 'ittempting to ilhistrate concepts of scale.'A siinilar “simplification” of thc, subject of map projections itself has, on at least one occasion, Icd to …","","https://scholar.google.com/scholar?q=related:2LzhuRwdiCoJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
2,"WR Tobler","GEOGRAPHICAL COORDINATE COMPUTATIONS. PART 1. GENERAL CONSIDERATIONS",1964,"","apps.dtic.mil","https://apps.dtic.mil/sti/citations/AD0460199","https://scholar.google.com/scholar?cites=17524256942979025841&as_sdt=2005&sciodt=2007&hl=en",247,"2021-12-14 16:19:11","","","","",,,,,2,0.04,2,1,57,"A discussion is presented of the usefulness of coordinate models for studies of geographically distributed phenomena with comments on specific coordinate systems and their relevance for the analysis and inventorying of geographical information. Appendices …","https://apps.dtic.mil/sti/pdfs/AD0460199.pdf","https://scholar.google.com/scholar?q=related:sQvwlteqMvMJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
2,"W Tobler","Spherical measures without spherical trigonometry",2001,"","deepblue.lib.umich.edu","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/60276/tobler.pdf;sequence=1","https://scholar.google.com/scholar?cites=6116868273812799986&as_sdt=2005&sciodt=2007&hl=en",250,"2021-12-14 16:19:11","","","","",,,,,2,0.10,2,1,20,"A common misconception suggests that it is necessary to understand spherical trigonometry in order to calculate properties of a spherical surface. That this is false can be demonstrated by deriving the formula for distance and direction on a sphere without any knowledge of …","","https://scholar.google.com/scholar?q=related:8gF4Vkl741QJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
44,"W Tobler","Dynamic filtration: Principle and application of shear filtration in an annular gap",1982,"","pascal-francis.inist.fr","https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=PASCAL82X0304590","https://scholar.google.com/scholar?cites=8802732933872785436&as_sdt=2005&sciodt=2007&hl=en",251,"2021-12-14 16:19:11","CITATION","","","",,,,,44,1.13,44,1,39,"Sauf mention contraire ci-dessus, le contenu de cette notice bibliographique peut être utilisé dans le cadre d'une licence CC BY 4.0 Inist-CNRS/Unless otherwise stated above, the content of this bibliographic record may be used under a CC BY 4.0 licence by Inist-CNRS/A …","","https://scholar.google.com/scholar?q=related:HJge6PaWKXoJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
40,"W Tobler","DYNAMIC FILTRATION. THE ENGINEERING CONCEPT OF THE ESCHER WYSS PRESSURE FILTER",1979,"","pascal-francis.inist.fr","https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=PASCAL8060116757","https://scholar.google.com/scholar?cites=15535148865839853335&as_sdt=2005&sciodt=2007&hl=en",252,"2021-12-14 16:19:11","CITATION","","","",,,,,40,0.95,40,1,42,"Sauf mention contraire ci-dessus, le contenu de cette notice bibliographique peut être utilisé dans le cadre d'une licence CC BY 4.0 Inist-CNRS/Unless otherwise stated above, the content of this bibliographic record may be used under a CC BY 4.0 licence by Inist-CNRS/A …","","https://scholar.google.com/scholar?q=related:F28ysZXvl9cJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
25,"WR Tobler","Numerical Map Generalization, and Notes on the Analysis of Geographical Distributions",1966,"","Department of Geography …","","https://scholar.google.com/scholar?cites=5004600825888550653&as_sdt=2005&sciodt=2007&hl=en",254,"2021-12-14 16:19:11","CITATION","","","",,,,,25,0.45,25,1,55,"","","https://scholar.google.com/scholar?q=related:_a62he_pc0UJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
41,"WR Tobler","Selected computer programs",1970,"","Department of Geography","","https://scholar.google.com/scholar?cites=1331544291242549908&as_sdt=2005&sciodt=2007&hl=en",258,"2021-12-14 16:19:11","CITATION","","","",,,,,41,0.80,41,1,51,"","","https://scholar.google.com/scholar?q=related:lCI2YnqYehIJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
1,"W Tobler","Tobler's FlowMapper",2003,"","escholarship.org","https://escholarship.org/uc/item/5m77x40h","https://scholar.google.com/scholar?cites=12783820218758005068&as_sdt=2005&sciodt=2007&hl=en",261,"2021-12-14 16:19:11","","","","",,,,,1,0.06,1,1,18,"Geographical movement is of crucial importance. This is because much change in the world is due to movement; the movement of people, ideas, money, or material. One way of depicting and analyzing geographical movement is by way of geographical maps. In 2003 …","https://escholarship.org/content/qt5m77x40h/qt5m77x40h.pdf","https://scholar.google.com/scholar?q=related:TAGH48FAabEJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
1,"W Tobler","City Sizes, Morphology and Interaction",1975,"","pure.iiasa.ac.at","http://pure.iiasa.ac.at/id/eprint/410/1/WP-75-018.pdf","https://scholar.google.com/scholar?cites=11492168336993276730&as_sdt=2005&sciodt=2007&hl=en",265,"2021-12-14 16:19:11","PDF","","","",,,,,1,0.02,1,1,46,"Research Memoranda are interim reports on research being conducted by the International Institt; te for Applied Systems Analysis, and as such receive only limited scientifk review. Views or opinions contained herein do not necessarily represent those of the Institute or of …","http://pure.iiasa.ac.at/id/eprint/410/1/WP-75-018.pdf","https://scholar.google.com/scholar?q=related:OtN54TZifJ8J:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
1,"W Tobler","The quadratic transportation problem as a model of interregional migration patterns",1982,"","pure.iiasa.ac.at","http://pure.iiasa.ac.at/id/eprint/2034/","https://scholar.google.com/scholar?cites=9386407879554236309&as_sdt=2005&sciodt=2007&hl=en",271,"2021-12-14 16:19:11","","","","",,,,,1,0.03,1,1,39,"Spatial interaction models have played an important role in two tasks in the Human Settlements and Services Area. In the Public Facilities Location Task they have been used to represent the locational behavior of establishments and households. In the Urban Change …","http://pure.iiasa.ac.at/id/eprint/2034/1/CP-82-084.pdf","https://scholar.google.com/scholar?q=related:lf_BMTw4Q4IJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
9,"HW Tobler","Die Revolution und die Entwicklung Mexikos im 20. Jahrhundert",2004,"","publications.iai.spk-berlin.de","https://publications.iai.spk-berlin.de/servlets/MCRFileNodeServlet/Document_derivate_00001383/BIA_098_065_085.pdf","https://scholar.google.com/scholar?cites=3454672007020913217&as_sdt=2005&sciodt=2007&hl=en",272,"2021-12-14 16:19:11","BOOK","","","",,,,,9,0.53,9,1,17,"Wenn in einem vorwiegend aktuellen Themen gewidmeten Band auf die mexikanische Revolution, also ein zeitlich bereits recht weit entferntes Er eignis, näher eingegangen wird, so lässt sich dies sachlich durchaus begrün den. Wie kaum ein anderes Land …","https://publications.iai.spk-berlin.de/servlets/MCRFileNodeServlet/Document_derivate_00001383/BIA_098_065_085.pdf","https://scholar.google.com/scholar?q=related:QaL3AeN18S8J:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
16,"WR Tobler","Three short papers on geographical analysis and modelling",1993,"","NCGIA, Technical Report 1","","https://scholar.google.com/scholar?cites=1283800579451567323&as_sdt=2005&sciodt=2007&hl=en",296,"2021-12-14 16:19:11","CITATION","","","",,,,,16,0.57,16,1,28,"","","https://scholar.google.com/scholar?q=related:27ymPNP50BEJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
15,"W Tobler","Notes and Comments on the Composition of Terrestrial and Celestial Maps, Translation of JHL Lambeck Work",2011,"","Preface ESRI Press, Redlands","","https://scholar.google.com/scholar?cites=3138631882630751137&as_sdt=2005&sciodt=2007&hl=en",297,"2021-12-14 16:19:11","CITATION","","","",,,,,15,1.50,15,1,10,"","","https://scholar.google.com/scholar?q=related:oePrbBGpjisJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
13,"WR Tobler","Three short papers on geographical analysis and modelling, NCGIA, Technical Report 1 (1993)",1993,"","University of California Santa …","","https://scholar.google.com/scholar?cites=13174299145292684449&as_sdt=2005&sciodt=2007&hl=en",301,"2021-12-14 16:19:11","CITATION","","","",,,,,13,0.46,13,1,28,"","","https://scholar.google.com/scholar?q=related:oRznr0WD1LYJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
0,"…, IL Schafer, Y Shefti, D Sperling, PT Suzuki, W Tobler, ...","Golden, BL. 403",,"","","","",309,"2021-12-14 16:19:11","CITATION","","","",,,,,0,0.00,0,7,,"","",""
22,"MW Tobler","Camera Base 1.6",2013,"","","","https://scholar.google.com/scholar?cites=8283148795439274155&as_sdt=2005&sciodt=2007&hl=en",310,"2021-12-14 16:19:11","CITATION","","","",,,,,22,2.75,22,1,8,"","","https://scholar.google.com/scholar?q=related:q9jchfGn83IJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
0,"W Tobler","Analysis of Three Interaction Matrices",1975,"","pure.iiasa.ac.at","http://pure.iiasa.ac.at/id/eprint/319/","",315,"2021-12-14 16:19:11","","","","",,,,,0,0.00,0,1,46,"The first matrix represents the cross-citations between nineteen business and economic journals. The second matrix consists of intersectoral job changes in Belgium. The third matrix indicates the amount of interaction between retail establishments, as indicated by …","http://pure.iiasa.ac.at/id/eprint/319/1/WP-75-109.pdf","https://scholar.google.com/scholar?q=related:TnccfaKahSMJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
0,"B Bitnar, W Durisch, WJ Tobler, F Von Roth","Development Of Yb {sub 2} O {sub 3} Foam Ceramic Emitters For TPV Applications",2005,"","osti.gov","https://www.osti.gov/etdeweb/biblio/20671636","",319,"2021-12-14 16:19:11","","","","",,,,,0,0.00,0,4,16,"A novel foam ceramic emitter was developed for thermo photovoltaic (TPV) systems working with Si-photocells. The emitter exhibits mechanical stability, porosity for gas permeability and thermal stability up to 1450 C. In order to study its resistance to thermal cycles, a timer …","https://www.osti.gov/etdeweb/servlets/purl/20671636","https://scholar.google.com/scholar?q=related:QTFCXebh_MsJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
0,"FJ Doyle, WM Kaula, CA Lindquist, II Mueller, JV Sharp, ...","Useful applications of earth-oriented satellites-Geodesy-cartography, panel 13",1969,"","ntrs.nasa.gov","https://ntrs.nasa.gov/api/citations/19700014236/downloads/19700014236.pdf","",321,"2021-12-14 16:19:11","PDF","","","",,,,,0,0.00,0,6,52,"In the fall of 1966, the National Aeronautics and Space Administration (NASA) asked the National Academy of Sciences to conduct a study on"" the probable future usefulness of satellites in practical Earth-oriented applications."" The study would obtain the …","https://ntrs.nasa.gov/api/citations/19700014236/downloads/19700014236.pdf",""
0,"WR Tobler","Design for embroidery, lace, or article of similar nature",1923,"","Google Patents","https://patents.google.com/patent/USD61881S/en","",323,"2021-12-14 16:19:11","","","","",,,,,0,0.00,0,1,98,"USD61881S - Design for embroidery, lace, or article of similar nature - Google Patents USD61881S - Design for embroidery, lace, or article of similar nature - Google Patents Design for embroidery, lace, or article of similar nature Download PDF Info Publication number …","",""
10,"W Tobler","Display and analysis of migration tables",2005,"","","","https://scholar.google.com/scholar?cites=11803294145073137986&as_sdt=2005&sciodt=2007&hl=en",327,"2021-12-14 16:19:11","CITATION","","","",,,,,10,0.63,10,1,16,"","","https://scholar.google.com/scholar?q=related:QkmICH25zaMJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
